ISIN,Ticker
INE835G01018,ALLSEC.NS
INE326B01027,ALMONDZ.NS
INE270A01029,ALOKINDS.NS
INE385I01010,ALPA.NS
INE137C01018,ALPHAGEO.NS
INE093B01015,ALPSINDUS.NS
INE885A01032,AMARAJABAT.NS
INE371P01015,AMBER.NS
INE540G01014,AMBIKCO.NS
INE079A01024,AMBUJACEM.NS
INE005I01014,AMDIND.NS
INE606A01024,AMJLAND.NS
INE098F01031,AMRUTANJAN.NS
INE242C01024,ANANTRAJ.NS
INE666E01012,ANDHRACEMT.NS
INE435A01028,ANDHRAPAP.NS
INE715B01013,ANDHRSUGAR.NS
INE732I01013,ANGELBRKG.NS
INE087B01017,ANIKINDS.NS
INE106I01010,ANKITMETAL.NS
INE436A01026,ANSALAPI.NS
INE880B01015,ANSALHSG.NS
INE294Z01018,ANUP.NS
INE372A01015,APARINDS.NS
INE071F01012,APCL.NS
INE116A01032,APCOTEXIND.NS
INE346W01013,APEX.NS
INE702C01027,APLAPOLLO.NS
INE901L01018,APLLTD.NS
INE713T01010,APOLLO.NS
INE437A01024,APOLLOHOSP.NS
INE126J01016,APOLLOPIPE.NS
INE438A01022,APOLLOTYRE.NS
INE451F01024,APOLSINHOT.NS
INE266F01018,APTECHT.NS
INE877I01016,ARCHIDPLY.NS
INE731A01020,ARCHIES.NS
INE574I01035,ARCOTECH.NS
INE610C01014,ARENTERP.NS
INE298I01015,ARIES.NS
INE413D01011,ARIHANT.NS
INE643K01018,ARIHANTSUP.NS
INE109C01017,ARMANFIN.NS
INE210C01013,AROGRANITE.NS
INE570D01018,ARROWGREEN.NS
INE968D01022,ARSHIYA.NS
INE267I01010,ARSSINFRA.NS
INE025R01013,ARTEMISMED.NS
INE034A01011,ARVIND.NS
INE955V01021,ARVINDFASN.NS
INE034S01021,ARVSMART.NS
INE439A01020,ASAHIINDIA.NS
INE228I01012,ASAHISONG.NS
INE900C01027,ASAL.NS
INE073G01016,ASALCBR.NS
INE348A01023,ASHAPURMIN.NS
INE365D01021,ASHIANA.NS
INE440A01010,ASHIMASYN.NS
INE442H01029,ASHOKA.NS
INE208A01029,ASHOKLEY.NS
INE363A01022,ASIANHOTNR.NS
INE021A01026,ASIANPAINT.NS
INE022I01019,ASIANTILES.NS
INE991I01015,ASPINWALL.NS
INE563J01010,ASTEC.NS
INE914M01019,ASTERDM.NS
INE006I01046,ASTRAL.NS
INE386C01029,ASTRAMICRO.NS
INE203A01020,ASTRAZEN.NS
INE646X01014,ASTRON.NS
INE209A01019,ATFL.NS
INE399L01023,ATGL.NS
INE285H01022,ATLANTA.NS
INE446A01025,ATLASCYCLE.NS
INE100A01010,ATUL.NS
INE951D01028,ATULAUTO.NS
INE949L01017,AUBANK.NS
INE132H01018,AURIONPRO.NS
INE406A01037,AUROPHARMA.NS
INE218C01016,AUSOMENT.NS
INE449A01011,AUTOAXLES.NS
INE718H01014,AUTOIND.NS
INE448A01013,AUTOLITIND.NS
INE349W01017,AVADHSUGAR.NS
INE871C01038,AVANTIFEED.NS
INE488D01021,AVTNPL.NS
INE01BK01022,AWHCL.NS
INE238A01034,AXISBANK.NS
INE555B01013,AXISCADES.NS
INE193B01039,AYMSYNTEX.NS
INE878I01022,BAFNAPH.NS
INE116D01028,BAGFILMS.NS
INE917I01010,BAJAJ-AUTO.NS
INE933K01021,BAJAJCON.NS
INE193E01025,BAJAJELEC.NS
INE918I01018,BAJAJFINSV.NS
INE306A01021,BAJAJHIND.NS
INE118A01012,BAJAJHLDNG.NS
INE296A01024,BAJFINANCE.NS
INE794B01026,BALAJITELE.NS
INE050E01027,BALAMINES.NS
INE618N01014,BALAXI.NS
INE875R01011,BALKRISHNA.NS
INE787D01026,BALKRISIND.NS
INE294A01037,BALLARPUR.NS
INE164A01016,BALMLAWRIE.NS
INE083D01012,BALPHARMA.NS
INE119A01028,BALRAMCHIN.NS
INE655B01011,BANARBEADS.NS
INE459A01010,BANARISUG.NS
INE213C01025,BANCOINDIA.NS
INE545U01014,BANDHANBNK.NS
INE863I01016,BANG.NS
INE862Y01015,BANKA.NS
INE028A01039,BANKBARODA.NS
INE084A01016,BANKINDIA.NS
INE629D01012,BANSWRAS.NS
INE855F01034,BARTRONICS.NS
INE373A01013,BASF.NS
INE186H01014,BASML.NS
INE176A01028,BATAINDIA.NS
INE462A01022,BAYERCROP.NS
INE464A01028,BBL.NS
INE050A01025,BBTC.NS
INE425B01027,BCG.NS
INE905P01028,BCP.NS
INE171Z01018,BDL.NS
INE520H01022,BEARDSELL.NS
INE495P01012,BECTORFOOD.NS
INE844K01012,BEDMUTHA.NS
INE263A01024,BEL.NS
INE258A01016,BEML.NS
INE922A01025,BEPL.NS
INE463A01038,BERGEPAINT.NS
INE878K01010,BFINVEST.NS
INE243D01012,BFUTILITIE.NS
INE661I01014,BGRENERGY.NS
INE354C01027,BHAGERIA.NS
INE458B01036,BHAGYANGR.NS
INE363W01018,BHAGYAPROP.NS
INE474E01029,BHANDARI.NS
INE465A01025,BHARATFORG.NS
INE561C01019,BHARATGEAR.NS
INE838B01013,BHARATRAS.NS
INE316L01019,BHARATWIRE.NS
INE397D01024,BHARTIARTL.NS
INE257A01026,BHEL.NS
INE412U01017,BIGBLOC.NS
INE828A01016,BIL.NS
INE607L01029,BILENERGY.NS
INE143A01010,BINDALAGRO.NS
INE376G01013,BIOCON.NS
INE829A01014,BIOFILCHEM.NS
INE800A01015,BIRLACABLE.NS
INE340A01012,BIRLACORPN.NS
INE865C01022,BIRLAMONEY.NS
INE0AEJ01013,BIRLATYRE.NS
INE831Q01016,BKMINDST.NS
INE791A01024,BLBLIMITED.NS
INE416D01022,BLISSGVS.NS
INE350H01032,BLKASHYAP.NS
INE153T01027,BLS.NS
INE472B01011,BLUECOAST.NS
INE233B01017,BLUEDART.NS
INE472A01039,BLUESTARCO.NS
INE338D01028,BODALCHEM.NS
INE032A01023,BOMDYEING.NS
INE02PY01013,BOROLTD.NS
INE666D01022,BORORENEW.NS
INE323A01026,BOSCHLTD.NS
INE029A01011,BPCL.NS
INE110A01019,BPL.NS
INE589G01011,BRFL.NS
INE791I01019,BRIGADE.NS
INE216A01030,BRITANNIA.NS
INE727S01012,BRNL.NS
INE650L01011,BROOKS.NS
INE118H01025,BSE.NS
INE395A01016,BSELINFRA.NS
INE032Z01012,BSHSL.NS
INE594B01012,BSL.NS
INE836A01035,BSOFT.NS
INE07T201019,BURGERKING.NS
INE817H01014,BURNPUR.NS
INE295F01017,BUTTERFLY.NS
INE139I01011,BVCL.NS
INE319B01014,BYKE.NS
INE010B01027,CADILAHC.NS
INE526B01014,CALSOFT.NS
INE052I01032,CAMLINFINE.NS
INE596I01012,CAMS.NS
INE476A01014,CANBK.NS
INE874H01015,CANDC.NS
INE477A01020,CANFINHOME.NS
INE068L01016,CANTABIL.NS
INE264T01014,CAPACITE.NS
INE475E01026,CAPLIPOINT.NS
INE707C01018,CAPTRUST.NS
INE120A01034,CARBORUNIV.NS
INE521J01018,CAREERP.NS
INE752H01013,CARERATING.NS
INE172A01027,CASTROLIND.NS
INE652F01027,CCHHL.NS
INE421D01022,CCL.NS
INE736A01011,CDSL.NS
INE482A01020,CEATLTD.NS
INE209L01016,CEBBCO.NS
INE185H01016,CELEBRITY.NS
INE485A01015,CENTENKA.NS
INE281A01026,CENTEXT.NS
INE483A01010,CENTRALBK.NS
INE660C01027,CENTRUM.NS
INE320B01020,CENTUM.NS
INE348B01021,CENTURYPLY.NS
INE055A01016,CENTURYTEX.NS
INE739E01017,CERA.NS
INE345B01019,CEREBRAINT.NS
INE486A01013,CESC.NS
INE425Y01011,CESCVENT.NS
INE180C01026,CGCL.NS
INE067A01029,CGPOWER.NS
INE427F01016,CHALET.NS
INE085A01013,CHAMBLFERT.NS
INE995D01025,CHEMBOND.NS
INE03YM01018,CHEMCON.NS
INE783X01023,CHEMFAB.NS
INE178A01016,CHENNPETRO.NS
INE121A01024,CHOLAFIN.NS
INE149A01033,CHOLAHLDNG.NS
INE662C01015,CHROMATIC.NS
INE675C01017,CIGNITITEC.NS
INE704H01022,CINELINE.NS
INE039B01026,CINEVISTA.NS
INE059A01026,CIPLA.NS
INE201M01011,CLEDUCATE.NS
INE492A01029,CLNINDIA.NS
INE981B01011,CMICABLES.NS
INE672K01025,CNOVAPETRO.NS
INE522F01014,COALINDIA.NS
INE704P01017,COCHINSHIP.NS
INE591G01017,COFORGE.NS
INE259A01022,COLPAL.NS
INE070C01037,COMPINFO.NS
INE453B01029,COMPUSOFT.NS
INE111A01025,CONCOR.NS
INE552D01024,CONFIPET.NS
INE025A01027,CONSOFINVT.NS
INE663B01015,CONTROLPR.NS
INE558D01021,CORALFINAC.NS
INE792I01017,CORDSCABLE.NS
INE169A01031,COROMANDEL.NS
INE757A01017,COSMOFILMS.NS
INE695B01025,COUNCODOS.NS
INE008I01026,COX&KINGS.NS
INE985W01018,CREATIVE.NS
INE230B01021,CREATIVEYE.NS
INE741K01010,CREDITACC.NS
INE559D01011,CREST.NS
INE007A01025,CRISIL.NS
INE299U01018,CROMPTON.NS
INE679A01013,CSBBANK.NS
INE627H01017,CTE.NS
INE491A01021,CUB.NS
INE144D01012,CUBEXTUB.NS
INE298A01020,CUMMINSIND.NS
INE509F01011,CUPID.NS
INE278G01037,CYBERMEDIA.NS
INE214A01019,CYBERTECH.NS
INE136B01020,CYIENT.NS
INE818H01020,DAAWAT.NS
INE016A01026,DABUR.NS
INE00R701025,DALBHARAT.NS
INE495A01022,DALMIASUG.NS
INE497D01022,DAMODARIND.NS
INE688Y01014,DANGEE.NS
INE365B01017,DATAMATICS.NS
INE950I01011,DBCORP.NS
INE917M01012,DBL.NS
INE879I01012,DBREALTY.NS
INE921B01025,DBSTOCKBRO.NS
INE385W01011,DCAL.NS
INE503A01015,DCBBANK.NS
INE498A01018,DCM.NS
INE891B01012,DCMFINSERV.NS
INE08KP01019,DCMNVL.NS
INE499A01024,DCMSHRIRAM.NS
INE500A01029,DCW.NS
INE583C01021,DECCANCE.NS
INE501A01019,DEEPAKFERT.NS
INE288B01029,DEEPAKNTR.NS
INE677H01012,DEEPENR.NS
INE124G01033,DELTACORP.NS
INE393A01011,DELTAMAGNT.NS
INE947J01015,DEN.NS
INE244A01016,DENORA.NS
INE456C01020,DFMFOODS.NS
INE03JI01017,DGCONTENT.NS
INE041A01016,DHAMPURSUG.NS
INE680A01011,DHANBANK.NS
INE274G01010,DHANI.NS
INE435G01025,DHANUKA.NS
INE988C01014,DHARSUGAR.NS
INE202B01012,DHFL.NS
INE320L01011,DHUNINV.NS
INE393P01035,DIAMONDYD.NS
INE989C01012,DIAPOWER.NS
INE303A01010,DICIND.NS
INE927C01020,DIGISPICE.NS
INE731U01010,DIGJAMLTD.NS
INE836F01026,DISHTV.NS
INE361B01024,DIVISLAB.NS
INE935N01012,DIXON.NS
INE271C01023,DLF.NS
INE250K01012,DLINKINDIA.NS
INE192R01011,DMART.NS
INE016M01021,DNAMEDIA.NS
INE966A01022,DOLAT.NS
INE325C01035,DOLLAR.NS
INE668D01028,DONEAR.NS
INE266Y01019,DPABHUSHAN.NS
INE360C01024,DPSCLTD.NS
INE864X01013,DPWIRES.NS
INE656K01010,DQE.NS
INE506A01018,DREDGECORP.NS
INE089A01023,DRREDDY.NS
INE417B01040,DSSL.NS
INE341R01014,DTIL.NS
INE741L01018,DUCON.NS
INE477B01010,DVL.NS
INE366A01041,DWARKESH.NS
INE221B01012,DYNAMATECH.NS
INE256H01015,DYNPRO.NS
INE962C01027,EASTSILK.NS
INE268C01029,EASUNREYRL.NS
INE726L01019,EBIXFOREX.NS
INE738I01010,ECLERX.NS
INE532F01054,EDELWEISS.NS
INE216H01027,EDUCOMP.NS
INE066A01021,EICHERMOT.NS
INE126A01031,EIDPARRY.NS
INE276C01014,EIHAHOTELS.NS
INE230A01023,EIHOTEL.NS
INE158B01016,EIMCOELECO.NS
INE184H01027,EKC.NS
INE205B01023,ELECON.NS
INE086A01029,ELECTCAST.NS
INE822G01016,ELECTHERM.NS
INE285A01027,ELGIEQUIP.NS
INE819L01012,ELGIRUBCO.NS
INE548C01032,EMAMILTD.NS
INE830C01026,EMAMIPAP.NS
INE778K01012,EMAMIREAL.NS
INE078A01026,EMCO.NS
INE296H01011,EMKAY.NS
INE753K01015,EMMBI.NS
INE913H01037,ENDURANCE.NS
INE306C01019,ENERGYDEV.NS
INE510A01028,ENGINERSIN.NS
INE265F01028,ENIL.NS
INE255A01020,EPL.NS
INE988K01017,EQUITAS.NS
INE063P01018,EQUITASBNK.NS
INE406M01024,ERIS.NS
INE416L01017,EROSMEDIA.NS
INE284A01012,ESABINDIA.NS
INE042A01014,ESCORTS.NS
INE122M01019,ESSARSHPNG.NS
INE778B01029,ESTER.NS
INE063J01011,EUROMULTI.NS
INE022C01012,EUROTEXIND.NS
INE128A01029,EVEREADY.NS
INE295A01018,EVERESTIND.NS
INE688J01015,EXCEL.NS
INE369A01029,EXCELINDUS.NS
INE302A01020,EXIDEIND.NS
INE201K01015,EXPLEOSOL.NS
INE188A01015,FACT.NS
INE0DNW01011,FAIRCHEMOR.NS
INE045J01026,FCL.NS
INE220J01025,FCONSUMER.NS
INE512B01022,FCSSOFT.NS
INE258B01022,FDC.NS
INE171A01029,FEDERALBNK.NS
INE623B01027,FEL.NS
IN9623B01058,FELDVR.NS
INE737H01014,FIEMIND.NS
INE816B01027,FILATEX.NS
INE235A01022,FINCABLES.NS
INE686Y01026,FINEORG.NS
INE183A01016,FINPIPE.NS
INE060J01017,FLEXITUFF.NS
INE452O01016,FLFL.NS
INE09N301011,FLUOROCHEM.NS
INE529A01010,FMGOETZE.NS
INE360L01017,FMNL.NS
INE451A01017,FORCEMOT.NS
INE061F01013,FORTIS.NS
INE519A01011,FOSECOIND.NS
INE752P01024,FRETAIL.NS
INE935Q01015,FSC.NS
INE684F01012,FSL.NS
INE524A01029,GABRIEL.NS
INE036B01030,GAEL.NS
INE129A01019,GAIL.NS
INE482J01021,GAL.NS
INE600K01018,GALAXYSURF.NS
INE297H01019,GALLANTT.NS
INE528K01029,GALLISPAT.NS
INE181G01025,GAMMNINFRA.NS
INE524B01027,GANDHITUBE.NS
INE845D01014,GANECOS.NS
INE460C01014,GANESHHOUC.NS
INE335W01016,GANGESSECU.NS
INE526A01016,GARDENSILK.NS
INE276A01018,GARFIBRES.NS
INE152B01027,GATI.NS
INE287Z01012,GAYAHWS.NS
INE336H01023,GAYAPROJ.NS
INE087J01028,GBGLOBAL.NS
INE852F01015,GDL.NS
INE916G01016,GEECEE.NS
INE669X01016,GEEKAYWIRE.NS
INE727B01026,GENESYS.NS
INE949P01018,GENUSPAPER.NS
INE955D01029,GENUSPOWER.NS
INE007B01023,GEOJITFSL.NS
INE878A01011,GEPIL.NS
INE017A01032,GESHIP.NS
INE200A01026,GET&D.NS
INE538A01037,GFLLIMITED.NS
INE534A01028,GFSTEELS.NS
INE539A01019,GHCL.NS
INE289B01019,GICHSGFIN.NS
INE481Y01014,GICRE.NS
INE047B01011,GILLANDERS.NS
INE322A01010,GILLETTE.NS
INE424C01010,GINNIFILA.NS
INE162A01010,GIPCL.NS
INE065J01016,GISOLUTION.NS
INE528A01020,GKWLIMITED.NS
INE068V01023,GLAND.NS
INE159A01016,GLAXO.NS
INE935A01035,GLENMARK.NS
INE540A01017,GLFL.NS
INE291W01011,GLOBAL.NS
INE792H01019,GLOBALVECT.NS
INE581X01013,GLOBE.NS
INE446C01013,GLOBOFFS.NS
INE615I01010,GLOBUSSPR.NS
INE075D01018,GMBREW.NS
INE131A01031,GMDCLTD.NS
INE541A01023,GMMPFAUDLR.NS
INE776C01039,GMRINFRA.NS
INE934S01014,GNA.NS
INE113A01013,GNFC.NS
INE426D01013,GOACARBON.NS
INE077F01035,GOCLCORP.NS
INE260B01028,GODFRYPHLP.NS
INE925Y01010,GODHA.NS
INE850D01014,GODREJAGRO.NS
INE102D01028,GODREJCP.NS
INE233A01035,GODREJIND.NS
INE484J01027,GODREJPROP.NS
INE516K01024,GOENKA.NS
INE887G01027,GOKEX.NS
INE020J01029,GOKUL.NS
INE314T01025,GOKULAGRO.NS
INE973A01010,GOLDENTOBC.NS
INE025B01017,GOLDIAM.NS
INE805A01014,GOLDTECH.NS
INE127I01024,GOODLUCK.NS
INE533A01012,GOODYEAR.NS
INE177H01013,GPIL.NS
INE517F01014,GPPL.NS
INE390G01014,GPTINFRA.NS
INE101D01020,GRANULES.NS
INE371A01025,GRAPHITE.NS
INE047A01021,GRASIM.NS
INE024L01027,GRAVITA.NS
INE224A01026,GREAVESCOT.NS
INE544R01013,GREENLAM.NS
INE08ZM01014,GREENPANEL.NS
INE461C01038,GREENPLY.NS
INE999K01014,GREENPOWER.NS
INE536A01023,GRINDWELL.NS
INE646C01018,GROBTEA.NS
INE137I01015,GRPLTD.NS
INE382Z01011,GRSE.NS
INE542A01039,GSCLCEMENT.NS
INE026A01025,GSFC.NS
INE246F01010,GSPL.NS
INE871H01011,GSS.NS
INE043A01012,GTL.NS
INE221H01019,GTLINFRA.NS
INE537A01013,GTNIND.NS
INE302H01017,GTNTEX.NS
INE869I01013,GTPL.NS
INE742B01025,GUFICBIO.NS
INE186A01019,GUJALKALI.NS
INE826C01016,GUJAPOLLO.NS
INE844O01030,GUJGASLTD.NS
INE610B01024,GUJRAFFIA.NS
INE635Q01029,GULFOILLUB.NS
INE586G01017,GULFPETRO.NS
INE255D01024,GULPOLY.NS
INE251H01024,GVKPIL.NS
INE066F01012,HAL.NS
INE419U01012,HAPPSTMNDS.NS
INE939D01015,HARITASEAT.NS
INE544A01019,HARRMALAYA.NS
INE982F01036,HATHWAY.NS
INE473B01035,HATSUN.NS
INE176B01034,HAVELLS.NS
INE293B01029,HAVISHA.NS
INE292B01021,HBLPOWER.NS
INE550B01022,HBSL.NS
INE549A01026,HCC.NS
INE075I01017,HCG.NS
INE236A01020,HCL-INSYS.NS
INE860A01027,HCLTECH.NS
INE001A01036,HDFC.NS
INE127D01025,HDFCAMC.NS
INE040A01034,HDFCBANK.NS
INE795G01014,HDFCLIFE.NS
INE191I01012,HDIL.NS
INE545A01016,HEG.NS
INE578A01017,HEIDELBERG.NS
INE0AJG01018,HEMIPROP.NS
INE688E01024,HERCULES.NS
INE978A01027,HERITGFOOD.NS
INE158A01026,HEROMOTOCO.NS
INE782E01017,HESTERBIO.NS
INE750M01017,HEXATRADEX.NS
INE548A01028,HFCL.NS
INE926X01010,HGINFRA.NS
INE170I01016,HGS.NS
INE475B01022,HIKAL.NS
INE557A01011,HIL.NS
INE788H01017,HILTON.NS
INE049A01027,HIMATSEIDE.NS
INE038A01020,HINDALCO.NS
INE310C01029,HINDCOMPOS.NS
INE531E01026,HINDCOPPER.NS
INE253A01025,HINDMOTORS.NS
INE952A01022,HINDNATGLS.NS
INE345A01011,HINDOILEXP.NS
INE094A01015,HINDPETRO.NS
INE030A01027,HINDUNILVR.NS
INE267A01025,HINDZINC.NS
INE835D01023,HIRECT.NS
INE598C01011,HISARMETAL.NS
INE106T01017,HITECH.NS
INE120D01012,HITECHCORP.NS
INE127B01011,HITECHGEAR.NS
INE102A01024,HLVLTD.NS
INE262A01018,HMT.NS
INE871K01015,HMVL.NS
INE254N01018,HNDFDS.NS
INE671A01010,HONAUT.NS
INE634A01018,HONDAPOWER.NS
INE275F01019,HOTELRUGBY.NS
INE596H01014,HOVS.NS
INE495S01016,HPL.NS
INE019C01026,HSCL.NS
INE415A01038,HSIL.NS
INE501G01024,HTMEDIA.NS
INE703H01016,HUBTOWN.NS
INE031A01017,HUDCO.NS
INE275B01026,HUHTAMAKI.NS
INE069I01010,IBREALEST.NS
INE148I01020,IBULHSGFIN.NS
INE520Y01019,ICEMAKE.NS
INE090A01021,ICICIBANK.NS
INE765G01017,ICICIGI.NS
INE726G01019,ICICIPRULI.NS
INE483B01026,ICIL.NS
INE725G01011,ICRA.NS
INE008A01015,IDBI.NS
INE669E01016,IDEA.NS
INE043D01016,IDFC.NS
INE092T01019,IDFCFIRSTB.NS
INE022Q01020,IEX.NS
INE076C01018,IFBAGRO.NS
INE559A01017,IFBIND.NS
INE039A01010,IFCI.NS
INE133Y01011,IFGLEXPOR.NS
INE188B01013,IGARASHI.NS
INE203G01027,IGL.NS
INE204A01010,IGPL.NS
INE530B01024,IIFL.NS
INE489L01022,IIFLSEC.NS
INE466L01020,IIFLWAM.NS
INE886A01014,IITL.NS
INE369I01014,IL&FSENGG.NS
INE975G01012,IL&FSTRANS.NS
INE172N01012,IMAGICAA.NS
INE919H01018,IMFA.NS
INE547E01014,IMPAL.NS
INE841B01017,INDBANK.NS
INE053A01029,INDHOTEL.NS
INE383A01012,INDIACEM.NS
INE560A01015,INDIAGLYCO.NS
INE933S01016,INDIAMART.NS
INE562A01011,INDIANB.NS
INE061A01014,INDIANCARD.NS
INE323C01030,INDIANHUME.NS
INE646L01027,INDIGO.NS
INE065B01013,INDLMETER.NS
INE092B01025,INDNIPPON.NS
INE873D01024,INDOCO.NS
INE156A01020,INDORAMA.NS
INE866K01015,INDOSOLAR.NS
INE896L01010,INDOSTAR.NS
INE332H01014,INDOTECH.NS
INE337M01013,INDOTHAI.NS
INE227G01018,INDOWIND.NS
INE681B01017,INDRAMEDCO.NS
INE915B01019,INDSWFTLAB.NS
INE788B01028,INDSWFTLTD.NS
INE611L01021,INDTERRAIN.NS
INE095A01012,INDUSINDBK.NS
INE121J01017,INDUSTOWER.NS
INE189B01011,INEOSSTYRO.NS
INE483S01020,INFIBEAM.NS
INE344S01016,INFOBEAN.NS
INE669A01022,INFOMEDIA.NS
INE009A01021,INFY.NS
INE177A01018,INGERRAND.NS
INE312H01016,INOXLEISUR.NS
INE066P01011,INOXWIND.NS
INE070I01018,INSECTICID.NS
INE020G01017,INSPIRISYS.NS
INE418N01027,INTEGRA.NS
INE306R01017,INTELLECT.NS
INE781A01025,INTENTECH.NS
INE878H01016,INVENTURE.NS
INE565A01014,IOB.NS
INE242A01010,IOC.NS
INE485C01011,IOLCP.NS
INE571A01020,IPCALAB.NS
INE821I01014,IRB.NS
INE962Y01021,IRCON.NS
INE335Y01012,IRCTC.NS
INE763G01038,ISEC.NS
INE566K01011,ISFT.NS
INE732F01019,ISMTLTD.NS
INE154A01025,ITC.NS
INE353K01014,ITDC.NS
INE686A01026,ITDCEM.NS
INE248A01017,ITI.NS
INE050B01023,IVC.NS
INE043C01018,IVP.NS
INE848A01014,IZMO.NS
INE168A01041,J&KBANK.NS
INE199G01027,JAGRAN.NS
INE048B01027,JAGSNPHARM.NS
INE091G01018,JAIBALAJI.NS
INE070D01027,JAICORPLTD.NS
INE343D01010,JAIHINDPRO.NS
INE486B01011,JAINSTUDIO.NS
INE039C01032,JAMNAAUTO.NS
INE039O01011,JASH.NS
INE785A01026,JAYAGROGN.NS
INE571B01028,JAYBARMARU.NS
INE854B01010,JAYNECOIND.NS
INE364A01020,JAYSREETEA.NS
INE572A01028,JBCHEPHARM.NS
INE187A01017,JBFIND.NS
INE927D01028,JBMA.NS
INE782A01015,JCHAC.NS
INE802G01018,JETAIRWAYS.NS
INE544H01014,JHS.NS
INE796G01012,JINDALPHOT.NS
INE197D01010,JINDALPOLY.NS
INE324A01024,JINDALSAW.NS
INE749A01030,JINDALSTEL.NS
INE742C01031,JINDRILL.NS
INE247D01039,JINDWORLD.NS
IN9175A01010,JISLDVREQS.NS
INE175A01038,JISLJALEQS.NS
INE863T01013,JITFINFRA.NS
INE023S01016,JIYAECO.NS
INE823G01014,JKCEMENT.NS
INE576I01022,JKIL.NS
INE786A01032,JKLAKSHMI.NS
INE789E01012,JKPAPER.NS
INE573A01042,JKTYRE.NS
INE412C01023,JMA.NS
INE890A01024,JMCPROJECT.NS
INE780C01023,JMFINANCIL.NS
INE988E01036,JMTAUTOLTD.NS
INE839G01010,JOCIL.NS
INE455F01025,JPASSOCIAT.NS
INE099J01015,JPINFRATEC.NS
INE147P01019,JPOLYINVST.NS
INE351F01018,JPPOWER.NS
INE220G01021,JSL.NS
INE455T01018,JSLHISAR.NS
INE121E01018,JSWENERGY.NS
INE824G01012,JSWHL.NS
INE743C01021,JSWISPL.NS
INE019A01038,JSWSTEEL.NS
INE643A01035,JTEKTINDIA.NS
INE700A01033,JUBILANT.NS
INE797F01012,JUBLFOOD.NS
INE645L01011,JUBLINDS.NS
INE974C01022,JUMPNET.NS
INE599M01018,JUSTDIAL.NS
INE668F01031,JYOTHYLAB.NS
INE197A01024,JYOTISTRUC.NS
INE900B01029,KABRAEXTRU.NS
INE217B01036,KAJARIACER.NS
INE437B01014,KAKATCEM.NS
INE220B01022,KALPATPOWR.NS
INE610E01010,KALYANI.NS
INE314G01014,KALYANIFRG.NS
INE967C01018,KAMATHOTEL.NS
INE390H01012,KAMDHENU.NS
INE879E01037,KANANIIND.NS
INE138C01024,KANORICHEM.NS
INE694E01014,KANPRPLA.NS
INE531A01024,KANSAINER.NS
INE542Z01010,KAPSTON.NS
INE278R01026,KARDA.NS
INE725L01011,KARMAENG.NS
INE036D01028,KARURVYSYA.NS
INE234I01010,KAUSHALYA.NS
INE587G01015,KAYA.NS
INE805C01028,KCP.NS
INE790B01024,KCPSUGIND.NS
INE291D01011,KDDL.NS
INE389H01022,KEC.NS
INE134B01017,KECL.NS
INE586X01012,KEERTI.NS
INE878B01027,KEI.NS
INE164B01022,KELLTONTEC.NS
INE717A01029,KENNAMET.NS
